key,mg
a71,Tsy misy tapaka
a72,1-3 tapaka
a73,4-6 tapaka
a31,Tehaky/Samontabe (Rano soro)
a32,Tehaky/Samontabe (Rano moly)
a33,Lemirano/Ranogegy (Rano soro)
a34,Lemirano/Ranogegy (Rano moly)
a39,Tsia
a40,Hatao maina
a41,Hatao sira
a42,Hasaly
a43,Izy rehetra
a44,Tsena/ampahany namboarina
a45,Nofony
a46,Rambony
a47,Ohiny
sp2,Drakaka
sp1,Orita
star,Mihatra amin'ireo mpiara-miombon'antoka na firenena voatendry ihany.
question,Fanontaniana
answer,Valiny Safidy
q47,Lanjany totaly
q49,Lanjany totaly lafo
q55,Lanjany totaly isaky ny karazana
q65,*Lanjany tsirairay*
