key,id
a32,Pasang purnama (pasang rendah)
a33,Pasang perbani (pasang tinggi)
a34,Pasang perbani (pasang rendah)
a39,Tidak
a40,Kering
a41,Penggaraman
a42,Pengasapan
a43,Keseluruhan
a44,Pasar bersih/Diproses sebagian
a45,Filet
a46,Ekor
a47,Sirip
sp2,Kepiting
sp1,Gurita
star,Hanya berlaku untuk mitra atau negara yang ditunjuk.
question,Pertanyaan
answer,Pilihan Jawaban
q47,Total berat tangkapan
q49,Berat total tangkapan yang akan dijual
q55,Berat total spesies
q65,*Berat individu*
